zip,count
61846,14
61839,3
73834,5
73832,1
61850,4
61851,1
61852,1
61853,28
61854,3
61856,16
61857,1
61847,3
58205,1
61849,8
58202,1
58201,54
58203,19
97814,26
97813,3
73843,1
97810,3
73842,2
73841,2
97812,2
73840,1
61863,4
61864,4
61866,31
61858,6
58216,1
61859,4
58214,2
73858,3
73857,2
73853,1
61870,4
73852,2
97801,38
61871,1
58220,8
61872,2
61873,17
61874,21
61876,2
61877,8
61878,4
58227,1
58224,1
58223,1
73848,4
97836,6
97838,58
71202,51
61880,10
71203,69
97834,1
61882,2
71201,44
97833,1
58231,1
61883,12
58230,1
61884,5
73860,5
97830,4
58237,5
97828,4
73859,2
97824,3
97827,8
97826,2
97820,4
97823,3
58244,1
58243,1
58249,1
97818,7
71229,4
97857,1
71226,3
71227,4
71225,18
71222,2
97856,1
71220,39
97850,26
58254,1
58251,3
58250,2
83217,1
83218,1
58257,2
83213,6
58256,3
83214,2
83211,15
83210,5
71219,5
97846,12
71238,6
97848,1
71235,7
97843,2
97842,2
97845,4
71234,2
97844,15
71232,12
58261,2
46290,3
83202,39
58267,3
83201,81
83204,23
83203,1
97839,1
22404,1
22405,140
22406,100
22407,260
22408,111
22401,68
58401,23
58413,1
58420,2
58426,2
58425,2
58428,4
58421,3
22473,17
34461,94
34465,187
22485,71
34450,108
22488,2
22480,1
22482,8
34453,102
34452,96
E3B 3W3,1
10471,16
10470,13
22454,2
22456,1
34448,99
34446,192
34442,176
10473,41
10472,20
10475,14
10474,2
34449,17
46410,155
22469,3
34436,56
34434,96
34433,69
34432,96
22460,3
34431,87
22437,1
46404,54
46405,39
46402,16
46403,43
22432,2
22433,1
46408,58
46409,22
22435,6
46406,20
22436,1
46407,24
10459,19
10458,19
34420,107
10451,19
10453,18
10452,11
10455,13
10454,10
34429,100
10457,29
34428,81
10456,17
10460,13
22443,38
10469,70
10462,28
10461,38
10464,14
10463,35
10466,49
10465,50
10468,18
10467,38
22427,10
95338,54
71369,5
71367,4
95334,49
71368,2
95335,16
71365,1
95336,263
71366,8
95337,288
95330,231
71362,5
95333,8
71360,75
83355,11
83352,10
83353,8
83350,13
95327,17
95328,18
95329,20
71378,1
95323,2
95324,25
95326,42
71375,1
95320,54
95321,45
71373,12
95322,17
71371,4
83347,4
83346,3
83341,14
83340,6
46394,22
46392,26
46393,1
46390,12
46391,21
